settlement_id,order_id,payment_id,gross_amount,mdr_amount,gst_on_mdr,net_amount,settlement_date,utr
setl_r6snglh62c9t19,order_3obyghgk5bwiko,pay_tckeh5sw2292mt,43833.0,657.5,118.35,43057.15,2026-07-15,AXIS150726480396522
setl_mx3n0kgazu41ug,order_3mg25cfzfdsncz,pay_xvml90pxrlzu6w,14422.03,252.39,45.43,14124.21,2026-07-28,BARB280726172513552
setl_ibu4fmpkxvhagk,order_c4kl8cgn0t6dvw,pay_rb7f6fdhgzz0jk,3824.83,57.37,10.33,3757.13,2026-07-17,UTIB170726774186256
setl_2wspofv177udkt,order_s62ywe1g983ep9,pay_p9w4j66cnoljq5,15572.53,342.6,61.67,15168.26,2026-07-16,UTIB160726799702462
setl_f60yknfu84xyjo,order_3sflse45bg34iq,pay_7zj3swebnvg5vm,1049.35,15.74,2.83,1030.78,2026-07-22,NEFTICIC080726NBQH7M35I
setl_ej31gymdm0l2lj,order_622vxyzx9jpnbz,pay_ug0it26ys445gd,13338.19,200.07,36.01,13102.11,2026-07-23,HDFC230726999173816
setl_m6mg87oi0e0vgn,order_wo8nbhnal3gywi,pay_ymenvg3kk0vm59,29326.74,439.9,79.18,28807.66,2026-07-20,KKBK200726890901001
setl_d1b4xgmpw5d3go,order_kbrh7lay64yfds,pay_0dji9kqdgbk2l0,43309.6,866.19,155.91,42287.5,2026-08-03,UTIB030826762120216
setl_0aobt328w6uxqm,order_rxxf36wa7sqrf1,pay_llkstn3cpudrl9,37165.2,650.39,117.07,36397.74,2026-08-04,IDFB040826589975711
setl_oz0kz4z7whwkmy,order_x8ertb74rs7gu0,pay_env5sn961j88qe,44162.9,772.85,139.11,43250.94,2026-07-24,PUNB240726515879968
setl_f4aq7b7v1w4k2t,order_o2y8b0h54piwzn,pay_v0h0gq9c80ebkj,3418.7,68.37,12.31,3338.02,2026-07-24,AXIS240726281826886
setl_nwpaytxw1vzc7d,order_8g8tacy15pdtz9,pay_1x70fqldb2uuij,35442.1,708.84,127.59,34605.67,2026-07-27,ICIC270726476607283
setl_q1rdxck36h0w06,order_jhu8myikcgrlxy,pay_fu38gl2zxjmylr,38253.99,573.81,103.29,37576.89,2026-08-03,BARB030826969308488
setl_skffv3xoleyrvx,order_75bxd8wj0uunnv,pay_6cj9io3m25a5pi,18578.83,325.13,58.52,18195.18,2026-07-09,SBIN090726992280920
setl_16dvtja0assnh2,order_g6v5t1dx6ta7yp,pay_p5zp7r1m264upj,18486.7,277.3,49.91,18159.49,2026-07-29,NEFTAXIS080726OKC1MSY4L
setl_joyohaz7t0uum3,order_djnv07oxk8c1gr,pay_a47sh2szwymx9d,10299.35,180.24,32.44,10086.67,2026-07-22,UTIB220726904268181
setl_65r96khub2rtso,order_rm6j8y6rh05hhi,pay_wfd7yxw1tbrwr9,30932.29,541.32,97.44,30293.53,2026-07-22,ICIC220726875003691
setl_2myr06nkwfg3mw,order_94sz2kuuoyc3rw,pay_qmmu7jae58huxg,25787.95,386.82,69.63,25331.5,2026-07-10,SBIN100726535544964
setl_qa78rapkianouo,order_4lr9tjq8zgvwwu,pay_sxlmt2pnjka34m,7472.64,164.4,29.59,7278.65,2026-08-03,UTIB030826341638944
setl_55hewlgje2ab2r,order_cqg433e1i1p0bq,pay_1s9ryllwb7sjwh,26890.12,537.8,96.8,26255.52,2026-08-01,ICIC010826327195005
setl_nrwvbhza7x73qx,order_1s05wnwlc83gy1,pay_fkoldxb7gbdgbx,16337.53,359.43,64.7,15913.4,2026-08-03,YESB030826094801413
setl_uuhclrr6z3dxb3,order_mq8abkae6a9hl1,pay_737suudqfj6ijk,17262.34,258.94,46.61,16956.79,2026-08-06,YESB060826566139060
setl_3km2kql0ht1tw9,order_ijpyueongmx1gm,pay_32wp7iyf0d0iwf,31323.94,469.86,84.57,30769.51,2026-07-20,BARB200726804204394
setl_se99f77lu8el50,order_563btkf6xdn8ww,pay_iif86lthet25lz,34479.76,758.55,136.54,33584.67,2026-08-07,UTIB070826474231220
setl_qxdsgv6tolaq66,order_o7utxzbdq55it9,pay_bn18gp51kfk7y6,39732.3,595.98,107.28,39029.04,2026-07-16,YESB160726211175186
setl_cptkezjsszwd0w,order_wu3bfxb4y4k7bp,pay_gyvyv2gqu7dknn,44425.44,977.36,175.92,43272.16,2026-07-31,BARB310726469548995
setl_ov51zlboriq8hk,order_62xrw6tm2o04k0,pay_lthy25m8kb9w4u,5183.57,77.75,13.99,5091.83,2026-07-24,NEFTAXIS080726OKC1MSY4L
setl_91qe37qqyzqii4,order_hmlfzkicwmpeqy,pay_dbpgvv4zwl3zyt,27819.85,556.4,100.15,27163.3,2026-07-20,SBIN200726557701715
setl_mda9oekntbz3m5,order_8cd31nrxd356wa,pay_fftouhylu6k7p9,38975.73,682.08,122.77,38170.88,2026-07-21,BARB210726656666832
setl_rgb93wkcs4kek4,order_qc6dr08cw2lbm2,pay_qsq0p82kb700uc,787.01,11.81,2.13,773.07,2026-07-27,SBIN270726927524372
setl_8wze4ex6u86zjq,order_mjdxo100vhmygt,pay_y3addqhkgad7x4,42137.77,927.03,166.87,41043.87,2026-08-06,KKBK060826654214066
setl_fgzvrctlt4q9bc,order_83ru7myow8dt8c,pay_q1xgbngz6wmdw0,35481.87,532.23,95.8,34853.84,2026-07-20,ICIC200726387829310
setl_2maietdn1th1xj,order_7bd4w1aragdx5o,pay_31yhxso7vbgr8w,8838.3,154.67,27.84,8655.79,2026-07-29,IDFB290726722005436
setl_6pb90spo3zdrc1,order_dqp1hkf286utio,pay_s5hrqap5ipi786,31238.22,687.24,123.7,30427.28,2026-08-07,AXIS070826254310742
setl_og8cfeffh8aoy7,order_015z11l6spbnqs,pay_3qt36qnyy95g5d,21404.64,470.9,84.76,20848.98,2026-07-18,NEFTHDFC080726E8G8JDP0L
setl_hmlvhs21hd4y89,order_ea7187f8tsxk68,pay_19y207merbyeaw,17839.9,392.48,70.65,17376.77,2026-07-18,BARB180726980562656
setl_qymbnw8bkxcgw1,order_fkxwexkg6xb1r8,pay_vnrpjy93n0ajuf,27004.5,472.58,85.06,26446.86,2026-07-25,YESB250726544518952
setl_z8g1a0774rzgyd,order_bxvq6bkadevvhy,pay_bf0jum42wsc31t,37588.19,826.94,148.85,36612.4,2026-07-21,AXIS210726836151718
setl_st3ta195eq4pbg,order_my89sfqeri7b03,pay_ragvlkw1xsrqkr,29724.58,594.49,107.01,29023.08,2026-08-05,SBIN050826762467197
setl_utpmc3skxlojsy,order_uldryhr3yfk8hw,pay_9c4hjku2w8zuvj,24708.18,370.62,66.71,24270.85,2026-07-28,PUNB280726297374896
setl_tzetrij2frnlx6,order_o44iusexu1srdv,pay_1l30307hdhjo5c,1711.2,25.67,4.62,1680.91,2026-07-30,AXIS300726486451837
setl_as173rih83j0np,order_5egvlkdnon4uaa,pay_uwidqj4bwvf8gu,9416.28,164.78,29.66,9221.84,2026-07-28,NEFTHDFC080726E8G8JDP0L
setl_r45ed5ggsj6vv8,order_7k5w1jl6l91f4x,pay_2bfibjzp97bmzr,23741.79,415.48,74.79,23251.52,2026-07-21,ICIC210726371504165
setl_bcbdpdxujjcsex,order_5rup13wppbmqiy,pay_frwskp6rfe64sk,8202.92,143.55,25.84,8033.53,2026-08-04,NEFTHDFC080726E8G8JDP0L
setl_prr7mzakgmih6m,order_4vhu4bawz940vt,pay_krrvwy3rztplc6,27154.19,597.39,107.53,26449.27,2026-07-12,KKBK120726665729341
setl_68sy7p1zscmo1p,order_0z1r5fn3eh81a4,pay_rkgjzowi1t2ep7,17787.99,266.82,48.03,17473.14,2026-07-29,SBIN290726908466845
setl_7r93fezez5ehr0,order_k2zyzsilu3ndz3,pay_cc5rqnsvsojrpp,42491.52,849.83,152.97,41488.72,2026-08-06,ICIC060826961159408
setl_nd9tkg1f8yc8gz,order_xd8t18s1saxt8j,pay_h34udtlvr7mgat,13516.39,202.75,36.49,13277.15,2026-07-18,SBIN180726654610339
setl_z1t2xcb3yym33m,order_oefukpv8lymj1q,pay_i9mqvayxar6yo6,8096.82,121.45,21.86,7953.51,2026-07-11,IDFB110726537030453
setl_icvpdqe97n6y2c,order_7tlom539iy87hl,pay_cwbpa274ir833s,36137.06,542.06,97.57,35497.43,2026-07-17,BARB170726611080466
setl_o3aamtfpw6m9hk,order_9xhcgryqy4umkl,pay_d56r7wyqhr133n,9969.69,199.39,35.89,9734.41,2026-07-08,NEFTBARB0807269E6GBPS3Y
setl_apjc6kstcjiemt,order_ruw2xh6qihpnf4,pay_jd1ksibsmqpnrj,15119.04,302.38,54.43,14762.23,2026-07-16,KKBK160726439284044
setl_5ehpzrv7vsyjaf,order_duq6ddtbyrgc8k,pay_ixccsg4ofdtrc8,3019.06,66.42,11.96,2940.68,2026-07-27,AXIS270726859777901
setl_117nidp9mgyh52,order_f34gadktoc1yfm,pay_hbyhz43xz6olba,37395.71,654.42,117.8,36623.49,2026-07-31,SBIN310726068155839
setl_vnlpa5cgwfhdv3,order_cnkfhb7v80lkx1,pay_s9xka4lit6xiyz,41941.8,733.98,132.12,41075.7,2026-07-24,ICIC240726674233629
setl_z9c65fpyst5v01,order_11mzwncnpir7nz,pay_bxfv7fiuxfedzn,41605.78,624.09,112.34,40869.35,2026-07-11,BARB110726524364027
setl_3lpvowcp779460,order_xncmldqz05ev5k,pay_z3nwxrog983amb,13329.75,233.27,41.99,13054.49,2026-07-30,SBIN300726898027148
setl_7i07140k36faop,order_a4l3khyfk043bl,pay_syj4uwhk8c3fz4,21382.96,427.66,76.98,20878.32,2026-08-01,UTIB010826618443861
setl_t2eehfu4b9sntp,order_2grxpudc62g3au,pay_t3rsvz2e186gvg,42543.5,638.15,114.87,41790.48,2026-07-15,KKBK150726084872975
setl_b09zivzg92sjp7,order_g0l3rtz5tv6g8o,pay_m08tv4reasfen0,39680.24,694.4,124.99,38860.85,2026-07-17,ICIC170726465111312
setl_hgbo06fhrxjpt2,order_ma6gmdrdsferfx,pay_iokpg3dp4fmpm5,32187.29,643.75,115.88,31427.66,2026-08-01,UTIB010826862110225
setl_vb853gqd7wkr1t,order_6gaxlkkvpjrmey,pay_y1em30vvijvddw,7042.21,123.24,22.18,6896.79,2026-07-14,UTIB140726848557161
setl_gr0xafgovcci68,order_g8t922d0nx5wt3,pay_hju31fi0n6dgg5,4645.49,81.3,14.63,4549.56,2026-07-31,HDFC310726916601002
setl_trtidzs13hdnh4,order_2592ffq293ep0f,pay_le1mrr9vwe77nt,16403.57,360.88,64.96,15977.73,2026-08-07,SBIN070826105524728
setl_dl918slomeyl6s,order_rxonbnpjdn2mif,pay_dha6gh7idub9rb,22672.64,396.77,71.42,22204.45,2026-07-08,BARB080726679042271
setl_t8fhu91c329hha,order_zufdnu4i5ymqt3,pay_dgd8opocmvh0eq,34173.95,751.83,135.33,33286.79,2026-07-22,NEFTBARB0807269E6GBPS3Y
setl_piqnhqe86o3z0a,order_egpgvtn4ypkw74,pay_93dxwor17dpubk,16952.77,296.67,53.4,16602.7,2026-07-08,NEFTAXIS080726NCXLL4ZKL
setl_sjevts1hn6bedy,order_jgc46hd2orwhp6,pay_wqfk6xw4emm9va,5827.12,116.54,20.98,5689.6,2026-07-23,AXIS230726158477686
setl_mc1rbk9rx647di,order_hbrbjeqvviaa2u,pay_aqe8btsmaq3okl,37171.73,650.51,117.09,36404.13,2026-07-11,YESB110726632135800
setl_vsdbide6uitj5z,order_8udqddaqjrtmet,pay_mhopmpnbn7gggj,18294.49,402.48,72.45,17819.56,2026-07-11,AXIS110726473235494
setl_yqf8wxkk2abkvb,order_g8w85y6q8sjy5o,pay_p9lbsmwpq82k8r,13866.09,305.05,54.91,13506.13,2026-07-19,HDFC190726042548821
setl_aso7krgi4jwpxe,order_3uy5evszzsu8e6,pay_xfwz73whcf5sid,6709.15,100.64,18.12,6590.39,2026-07-30,NEFTAXIS080726NCXLL4ZKL
setl_da8dbfa1u5my80,order_d50n97cjb0pnwb,pay_gdqewuhryi0pt2,23837.73,417.16,75.09,23345.48,2026-07-22,NEFTUTIB080726LZTGXN0GU
setl_u9az3cegbmxikv,order_ab13t4y0tb1zpp,pay_ep69ngpcivi052,21619.76,324.3,58.37,21237.09,2026-07-29,ICIC290726148375374
setl_r4hc7jvlcg1j5e,order_fn07ea28ditmow,pay_nx23veuljgqpq8,28420.67,497.36,89.52,27833.79,2026-07-10,NEFTUTIB080726LZTGXN0GU
setl_cp9uw165aejt70,order_i1nq0ei05nms6x,pay_vqpu3et1ovejkl,5818.95,87.28,15.71,5715.96,2026-08-03,UTIB030826021288665
setl_sjws1zl7p72l4x,order_8t2a3ah7u0s3kd,pay_z4ppj590emc20l,39509.17,592.64,106.68,38809.85,2026-08-07,HDFC070826329633472
setl_lh07ba7dorfki1,order_loufhw8wlva02d,pay_z61txsnhft4i26,11241.8,224.84,40.47,10976.49,2026-07-31,ICIC310726662411186
setl_okpk7yswnxfshw,order_y12tlxlzs49cdz,pay_n1f0fp8bpg2r0t,32194.19,643.88,115.9,31434.41,2026-07-23,IDFB230726352287056
setl_psaldnj7vbjrbz,order_t54884z4ur2yup,pay_manqy0hu97ng0a,11498.75,172.48,31.05,11295.22,2026-07-26,HDFC260726797727810
setl_shhj7swrqlux6l,order_4jh9jpdmn1s3yg,pay_8vfu9pxykm8t0j,4841.89,96.84,17.43,4727.62,2026-08-04,HDFC040826267551254
setl_b8pfy4qcyd52al,order_30pocr0vhv1nm3,pay_v16xeghpmxpkn3,25924.5,570.34,102.66,25251.5,2026-07-29,IDFB290726076604641
setl_2xjq2wdizhw0vq,order_g0z0c682u9wt2y,pay_buh7jygsbogkah,19021.3,380.43,68.48,18572.39,2026-07-25,UTIB250726780555572
setl_77lk6hqiv929se,order_nx9owwew9v08li,pay_uqdn05xt54fn5g,27239.7,544.79,98.06,26596.85,2026-08-04,SBIN040826371006876
setl_3260nbw8sj84tc,order_r69xvssn7x5rrn,pay_ycihfv0ehruwa0,35936.61,790.61,142.31,35003.69,2026-07-26,PUNB260726334233720
setl_m0qpop1o8m291a,order_1hsltdkvuff124,pay_vf89x22j7q4kfm,31739.6,555.44,99.98,31084.18,2026-07-29,KKBK290726450566588
setl_3paua3aipjiylq,order_2ruw0u92t24d7v,pay_911pjq50xcxmsy,29993.27,599.87,107.98,29285.42,2026-08-05,BARB050826232342108
setl_6bnvsfa6d9er94,order_1c25xnofg7803g,pay_5dfrlw6jl2l5b5,24222.21,423.89,76.3,23722.02,2026-08-04,BARB040826047742585
setl_w4i7zt8phb8oos,order_emqt788g35sfy1,pay_h0s2utbtty9gfy,19043.7,418.96,75.41,18549.33,2026-07-22,YESB220726240148439
setl_73w1yaua8d7204,order_xd2zu4ns7nvv28,pay_ue1my6po0m24us,11520.11,230.4,41.47,11248.24,2026-07-19,AXIS190726470574238
setl_ztd3imz93ij4qp,order_u9ggsou6nj2n2p,pay_n7itcyl3z2ud79,26659.17,399.89,71.98,26187.3,2026-08-07,SBIN070826087805721
setl_dyvgdgfwmqx327,order_l2uncgwrt9dyfn,pay_gp41s3qw752e77,30141.42,452.12,81.38,29607.92,2026-07-18,AXIS180726523736050
setl_cef2ctg08zzkk4,order_7ofvwj7yz6l7x6,pay_oa3n4g2jayb1ey,11878.24,178.17,32.07,11668.0,2026-07-20,AXIS200726187328077
setl_pnnlo0hhgh5xw6,order_m9q7ftmfwg895n,pay_a2fqztio4m7pp0,24737.02,544.21,97.96,24094.85,2026-07-19,KKBK190726362718749
setl_ilqpb01qcte9w0,order_5cekof92y8lz8c,pay_v2a6pg4gks6r6b,1011.67,22.26,4.01,985.4,2026-07-14,IDFB140726660465586
setl_r1l9gvbmqq749q,order_tx8j1ccm0w3c1z,pay_a0dv6nyycj4q0r,40474.17,890.43,160.28,39423.46,2026-07-12,SBIN120726660256265
setl_e00h2k2p3ajfax,order_crv68jq12jf4ci,pay_wl3rfjl9vt3x8v,34342.46,515.14,92.73,33734.59,2026-07-18,NEFTUTIB080726LZTGXN0GU
setl_xsogb205hu03y5,order_tbvhuazun6fht6,pay_0kusfhvmljekbv,36831.03,736.62,132.59,35961.82,2026-07-22,HDFC220726394380403
setl_mpv5lmq15fbs4w,order_54p8ri4bnvqrfx,pay_ntf0mgoqmk31rt,27005.85,472.6,85.07,26448.18,2026-08-04,BARB040826236161880
setl_ldf4hra1361bgm,order_i9bl14hoae527p,pay_sqzn7xbvzr6kfk,30784.04,677.25,121.91,29984.88,2026-07-15,IDFB150726112229907
setl_7ktll8sn5yz7vx,order_ay7ov50ew25x1f,pay_vk1pbcd6fxnoq3,25893.37,569.65,102.54,25221.18,2026-07-18,ICIC180726758891444
setl_fghdiluvnhdczp,order_mwjpiwujt4ftlh,pay_33hw8d09jrd4hq,33301.52,732.63,131.87,32437.02,2026-08-04,BARB040826608437685
setl_x1cnaq2yotos87,order_3geq10f7ia41sa,pay_scebfe54ukigdi,16024.01,352.53,63.46,15608.02,2026-08-01,KKBK010826862872031
setl_3m0nq8ut60wlfy,order_f1hwjhbaepg25p,pay_u9h9fb02h6fyey,32287.9,645.76,116.24,31525.9,2026-08-02,BARB020826330674584
setl_iffcvedqfc1yuz,order_vws3kcvjxzdvyb,pay_4xz3mskzo3i9ll,19674.77,295.12,53.12,19326.53,2026-08-06,PUNB060826943705263
setl_ycx8ae0jxyo6hf,order_8qop82j3tps82x,pay_lvb9hxkei9ulth,4527.55,90.55,16.3,4420.7,2026-07-17,PUNB170726811210314
setl_43tuyktk61b7px,order_moctclka9lz57v,pay_4ndjm5gh2ij4tt,12216.81,183.25,32.98,12000.58,2026-07-12,ICIC120726190170756
setl_qyjrofh6airh8s,order_4fogx8irjbaqc6,pay_cqko5fkpa2tvmx,42038.84,630.58,113.5,41294.76,2026-07-16,YESB160726841484601
setl_qwb00n114py4fn,order_7r925dsiuaz71u,pay_f09uyg3ibg3hkc,7836.18,117.54,21.16,7697.48,2026-07-21,NEFTUTIB080726TAKPUXQPH
setl_2lqsqbbx5nwd0j,order_r2p6xcw8afmne6,pay_x1jd3vurr6cg1s,6875.64,151.26,27.23,6697.15,2026-07-26,ICIC260726362483550
setl_3gsv5e033dzqq5,order_l25s8t6aidizs3,pay_j0evzymkx9khh8,5701.48,85.52,15.39,5600.57,2026-07-16,NEFTUTIB080726TAKPUXQPH
setl_dwr1xfhsj0bi6a,order_sd0p4775b5nov3,pay_1nyc7h81jmbptp,23822.27,524.09,94.34,23203.84,2026-08-01,AXIS010826543788260
setl_jti2lswbb8ria4,order_mt4fvmypj2nnoc,pay_3arpyyfgtu91jg,19626.03,431.77,77.72,19116.54,2026-08-06,UTIB060826101683113
setl_q2yggafdr3tgwj,order_erumehcykjb85l,pay_fos9dj9ihjdqdf,41886.76,921.51,165.87,40799.38,2026-07-13,BARB130726857973638
setl_44esh9bxlsogwi,order_81bxd7itqrt8g7,pay_qncwzxqvrt4upr,2476.46,49.53,8.92,2418.01,2026-08-05,HDFC050826566957900
setl_vrc0erje4s4mfe,order_lld0n53r4sip4b,pay_8j4zxd82bmqw8e,14990.56,329.79,59.36,14601.41,2026-07-21,HDFC210726598678744
setl_40nxidb5z8xgqh,order_05sorhtmt1ozxg,pay_gmqj9ujefubfd3,20013.99,350.24,63.04,19600.71,2026-08-06,BARB060826920522299
setl_gwhaoqhvd8fbff,order_hkk7x34udc4fh0,pay_65afu20vmakrx0,9444.97,141.67,25.5,9277.8,2026-08-04,IDFB040826672019111
setl_1qp2wnv2mk48j4,order_fwpzdpvoe4t8dl,pay_8f5waz5bcan68u,6288.13,125.76,22.64,6139.73,2026-07-22,UTIB220726010801810
setl_v9wxhvy3nukond,order_xejaxvt7cz14wj,pay_ai9c2bvs3k337o,9850.32,197.01,35.46,9617.85,2026-08-07,HDFC070826779433256
setl_px4ntz7pjsfpfm,order_jvie6dueprtiry,pay_3ti0m2q22yokbv,17459.19,305.54,55.0,17098.65,2026-08-06,YESB060826936488208
setl_v1topi9xdulvna,order_ztlsuy5lv92bee,pay_vg429i76berp0i,1261.08,25.22,4.54,1231.32,2026-08-02,SBIN020826489420466
setl_lj29jb8jxkq054,order_24wpfdfhj05mpz,pay_05tqm3g98geyzi,3590.16,62.83,11.31,3516.02,2026-07-24,NEFTUTIB080726TAKPUXQPH
setl_g57zuhfbeggacs,order_4yji359t8zgehu,pay_iqsi2fextb7f5h,20839.71,458.47,82.52,20298.72,2026-07-11,HDFC110726089876108
setl_2ns8erkd0rngct,order_nvgqcqnyiadpz9,pay_q8su5nkc419u77,35905.97,628.35,113.1,35164.52,2026-07-16,ICIC160726996264222
setl_f1xoyc6h52mj13,order_zix2soth4mvkqe,pay_4dwz79hlth11bl,15282.17,267.44,48.14,14966.59,2026-07-21,PUNB210726064860673
setl_689mw68m1inufn,order_7zvnbi1cao8w81,pay_ayuam75psz1ctw,3319.18,49.79,8.96,3260.43,2026-07-21,IDFB210726990069680
setl_p1shntcvl0yqzd,order_scqqavaqdmfztg,pay_p8d20gm62s60yu,25087.18,376.31,67.74,24643.13,2026-07-30,HDFC300726537893186
setl_b8ohl1zumkvgg4,order_ofc57paco58p8o,pay_85biofu2ncu22k,17432.51,383.52,69.03,16979.96,2026-08-05,ICIC050826142436258
setl_tye737fentd7kf,order_enz9jn7k98xvi6,pay_73kllzcuh1i8ya,16419.25,328.38,59.11,16031.76,2026-07-31,SBIN310726687447017
setl_ohpjf9899ffzad,order_or8133hbaeom43,pay_t6uu8z8r2w71tj,27393.15,547.86,98.61,26746.68,2026-07-12,YESB120726892225606
