order_id,invoice_amount,payment_received_date,refund_amount,net_receivable
order_swovcxek47o3lq,7947.97,2026-08-04,54.29,7687.35
order_3obyghgk5bwiko,43833.0,2026-07-15,0.0,43057.15
order_3mg25cfzfdsncz,14422.03,2026-07-28,0.0,14124.21
order_c4kl8cgn0t6dvw,3824.83,2026-07-17,0.0,3757.13
order_s62ywe1g983ep9,15572.53,2026-07-16,0.0,15168.26
order_3sflse45bg34iq,1049.35,2026-07-22,0.0,1030.78
order_622vxyzx9jpnbz,13338.19,2026-07-23,0.0,13102.11
order_wo8nbhnal3gywi,29326.74,2026-07-20,222.97,28584.69
order_kbrh7lay64yfds,43309.6,2026-08-03,457.83,41829.67
order_rxxf36wa7sqrf1,37165.2,2026-08-04,0.0,36397.74
order_x8ertb74rs7gu0,44162.9,2026-07-24,0.0,43250.94
order_o2y8b0h54piwzn,3418.7,2026-07-24,68.67,3269.35
order_8g8tacy15pdtz9,35442.1,2026-07-27,0.0,34605.67
order_jhu8myikcgrlxy,38253.99,2026-08-03,0.0,37576.89
order_75bxd8wj0uunnv,18578.83,2026-07-09,0.0,18195.18
order_g6v5t1dx6ta7yp,18486.7,2026-07-29,0.0,18159.49
order_djnv07oxk8c1gr,10299.35,2026-07-22,0.0,10086.67
order_rm6j8y6rh05hhi,30932.29,2026-07-22,0.0,30293.53
order_94sz2kuuoyc3rw,25787.95,2026-07-10,0.0,25331.5
order_4lr9tjq8zgvwwu,7472.64,2026-08-03,0.0,7278.65
order_cqg433e1i1p0bq,26890.12,2026-08-01,0.0,26255.52
order_1s05wnwlc83gy1,16337.53,2026-08-03,0.0,15913.4
order_mq8abkae6a9hl1,17262.34,2026-08-06,0.0,16956.79
order_ijpyueongmx1gm,31323.94,2026-07-20,0.0,30769.51
order_563btkf6xdn8ww,34479.76,2026-08-07,0.0,33584.67
order_o7utxzbdq55it9,39732.3,2026-07-16,0.0,39029.04
order_wu3bfxb4y4k7bp,44425.44,2026-07-31,0.0,43272.16
order_62xrw6tm2o04k0,5183.57,2026-07-24,0.0,5091.83
order_hmlfzkicwmpeqy,27819.85,2026-07-20,0.0,27163.3
order_8cd31nrxd356wa,38975.73,2026-07-21,250.56,37920.32
order_qc6dr08cw2lbm2,787.01,2026-07-27,193.75,579.32
order_mjdxo100vhmygt,42137.77,2026-08-06,0.0,41043.87
order_83ru7myow8dt8c,35481.87,2026-07-20,0.0,34853.84
order_7bd4w1aragdx5o,8838.3,2026-07-29,0.0,8655.79
order_dqp1hkf286utio,31238.22,2026-08-07,0.0,30427.28
order_015z11l6spbnqs,21404.64,2026-07-18,0.0,20848.98
order_ea7187f8tsxk68,17839.9,2026-07-18,0.0,17376.77
order_fkxwexkg6xb1r8,27004.5,2026-07-25,0.0,26446.86
order_bxvq6bkadevvhy,37588.19,2026-07-21,89.56,36522.84
order_my89sfqeri7b03,29724.58,2026-08-05,0.0,29023.08
order_uldryhr3yfk8hw,24708.18,2026-07-28,0.0,24270.85
order_o44iusexu1srdv,1711.2,2026-07-30,0.0,1680.91
order_5egvlkdnon4uaa,9416.28,2026-07-28,0.0,9221.84
order_7k5w1jl6l91f4x,23741.79,2026-07-21,0.0,23251.52
order_5rup13wppbmqiy,8202.92,2026-08-04,0.0,8033.53
order_4vhu4bawz940vt,27154.19,2026-07-12,0.0,26449.27
order_0z1r5fn3eh81a4,17787.99,2026-07-29,0.0,17473.14
order_k2zyzsilu3ndz3,42491.52,2026-08-06,0.0,41488.72
order_xd8t18s1saxt8j,13516.39,2026-07-18,0.0,13277.15
order_oefukpv8lymj1q,8096.82,2026-07-11,0.0,7953.51
order_7tlom539iy87hl,36137.06,2026-07-17,0.0,35497.43
order_9xhcgryqy4umkl,9969.69,2026-07-08,0.0,9734.41
order_ruw2xh6qihpnf4,15119.04,2026-07-16,415.6,14346.63
order_duq6ddtbyrgc8k,3019.06,2026-07-27,0.0,2940.68
order_f34gadktoc1yfm,37395.71,2026-07-31,0.0,36623.49
order_cnkfhb7v80lkx1,41941.8,2026-07-24,0.0,41075.7
order_11mzwncnpir7nz,41605.78,2026-07-11,0.0,40869.35
order_xncmldqz05ev5k,13329.75,2026-07-30,0.0,13054.49
order_a4l3khyfk043bl,21382.96,2026-08-01,0.0,20878.32
order_2grxpudc62g3au,42543.5,2026-07-15,0.0,41790.48
order_g0l3rtz5tv6g8o,39680.24,2026-07-17,0.0,38860.85
order_ma6gmdrdsferfx,32187.29,2026-08-01,0.0,31427.66
order_6gaxlkkvpjrmey,7042.21,2026-07-14,0.0,6896.79
order_g8t922d0nx5wt3,4645.49,2026-07-31,0.0,4549.56
order_2592ffq293ep0f,16403.57,2026-08-07,0.0,15977.73
order_rxonbnpjdn2mif,22672.64,2026-07-08,445.47,21758.98
order_zufdnu4i5ymqt3,34173.95,2026-07-22,0.0,33286.79
order_egpgvtn4ypkw74,16952.77,2026-07-08,0.0,16602.7
order_jgc46hd2orwhp6,5827.12,2026-07-23,0.0,5689.6
order_hbrbjeqvviaa2u,37171.73,2026-07-11,0.0,36404.13
order_8udqddaqjrtmet,18294.49,2026-07-11,0.0,17819.56
order_g8w85y6q8sjy5o,13866.09,2026-07-19,0.0,13506.13
order_3uy5evszzsu8e6,6709.15,2026-07-30,0.0,6590.39
order_d50n97cjb0pnwb,23837.73,2026-07-22,0.0,23345.48
order_ab13t4y0tb1zpp,21619.76,2026-07-29,0.0,21237.09
order_fn07ea28ditmow,28420.67,2026-07-10,0.0,27833.79
order_i1nq0ei05nms6x,5818.95,2026-08-03,0.0,5715.96
order_8t2a3ah7u0s3kd,39509.17,2026-08-07,0.0,38809.85
order_loufhw8wlva02d,11241.8,2026-07-31,0.0,10976.49
order_y12tlxlzs49cdz,32194.19,2026-07-23,110.13,31324.28
order_t54884z4ur2yup,11498.75,2026-07-26,0.0,11295.22
order_4jh9jpdmn1s3yg,4841.89,2026-08-04,0.0,4727.62
order_30pocr0vhv1nm3,25924.5,2026-07-29,0.0,25251.5
order_g0z0c682u9wt2y,19021.3,2026-07-25,0.0,18572.39
order_nx9owwew9v08li,27239.7,2026-08-04,0.0,26596.85
order_r69xvssn7x5rrn,35936.61,2026-07-26,0.0,35003.69
order_1hsltdkvuff124,31739.6,2026-07-29,0.0,31084.18
order_2ruw0u92t24d7v,29993.27,2026-08-05,0.0,29285.42
order_1c25xnofg7803g,24222.21,2026-08-04,0.0,23722.02
order_emqt788g35sfy1,19043.7,2026-07-22,0.0,18549.33
order_xd2zu4ns7nvv28,11520.11,2026-07-19,0.0,11248.24
order_u9ggsou6nj2n2p,26659.17,2026-08-07,0.0,26187.3
order_l2uncgwrt9dyfn,30141.42,2026-07-18,460.39,29147.53
order_7ofvwj7yz6l7x6,11878.24,2026-07-20,0.0,11668.0
order_m9q7ftmfwg895n,24737.02,2026-07-19,0.0,24094.85
order_5cekof92y8lz8c,1011.67,2026-07-14,0.0,985.4
order_tx8j1ccm0w3c1z,40474.17,2026-07-12,0.0,39423.46
order_crv68jq12jf4ci,34342.46,2026-07-18,0.0,33734.59
order_tbvhuazun6fht6,36831.03,2026-07-22,419.05,35542.77
order_54p8ri4bnvqrfx,27005.85,2026-08-04,0.0,26448.18
order_i9bl14hoae527p,30784.04,2026-07-15,0.0,29984.88
order_ay7ov50ew25x1f,25893.37,2026-07-18,0.0,25221.18
order_mwjpiwujt4ftlh,33301.52,2026-08-04,0.0,32437.02
order_3geq10f7ia41sa,16024.01,2026-08-01,0.0,15608.02
order_f1hwjhbaepg25p,32287.9,2026-08-02,0.0,31525.9
order_vws3kcvjxzdvyb,19674.77,2026-08-06,0.0,19326.53
order_8qop82j3tps82x,4527.55,2026-07-17,0.0,4420.7
order_moctclka9lz57v,12216.81,2026-07-12,0.0,12000.58
order_4fogx8irjbaqc6,42038.84,2026-07-16,0.0,41294.76
order_7r925dsiuaz71u,7836.18,2026-07-21,0.0,7697.48
order_r2p6xcw8afmne6,6875.64,2026-07-26,0.0,6697.15
order_l25s8t6aidizs3,5701.48,2026-07-16,0.0,5600.57
order_sd0p4775b5nov3,23822.27,2026-08-01,0.0,23203.84
order_mt4fvmypj2nnoc,19626.03,2026-08-06,0.0,19116.54
order_erumehcykjb85l,41886.76,2026-07-13,0.0,40799.38
order_81bxd7itqrt8g7,2476.46,2026-08-05,344.68,2073.33
order_lld0n53r4sip4b,14990.56,2026-07-21,0.0,14601.41
order_05sorhtmt1ozxg,20013.99,2026-08-06,0.0,19600.71
order_hkk7x34udc4fh0,9444.97,2026-08-04,0.0,9277.8
order_fwpzdpvoe4t8dl,6288.13,2026-07-22,0.0,6139.73
order_xejaxvt7cz14wj,9850.32,2026-08-07,0.0,9617.85
order_jvie6dueprtiry,17459.19,2026-08-06,0.0,17098.65
order_ztlsuy5lv92bee,1261.08,2026-08-02,0.0,1231.32
order_24wpfdfhj05mpz,3590.16,2026-07-24,0.0,3516.02
order_4yji359t8zgehu,20839.71,2026-07-11,0.0,20298.72
order_nvgqcqnyiadpz9,35905.97,2026-07-16,0.0,35164.52
order_zix2soth4mvkqe,15282.17,2026-07-21,0.0,14966.59
order_7zvnbi1cao8w81,3319.18,2026-07-21,0.0,3260.43
order_scqqavaqdmfztg,25087.18,2026-07-30,0.0,24643.13
order_ofc57paco58p8o,17432.51,2026-08-05,0.0,16979.96
order_enz9jn7k98xvi6,16419.25,2026-07-31,0.0,16031.76
order_or8133hbaeom43,27393.15,2026-07-12,0.0,26746.68
order_hfrrcv1exyb8z8,17109.4,2026-07-20,0.0,16705.62
order_e00hu3x5u7df89,40391.16,2026-07-11,115.4,39322.53
order_vm3i0gxhc660uj,43136.1,2026-07-28,0.0,42016.29
order_rw6owh8vlig7r2,18475.96,2026-07-29,0.0,18039.93
order_00zcmhfmtgdlb3,43194.27,2026-08-03,0.0,42302.31
order_utvlyjmwuocs22,17942.34,2026-07-25,0.0,17518.9
order_d3iia38k0hf36c,18362.7,2026-07-23,0.0,17929.34
order_yettruti7zfzto,26333.74,2026-08-03,0.0,25867.63
order_wt994pn8qix43i,1718.04,2026-07-27,0.0,1687.63
order_w0mqa1ccyy4juf,40069.81,2026-07-13,0.0,39242.37
order_ieoxvku8yjmyvm,11757.98,2026-07-22,87.05,11428.13
order_faw2xch1joqnuv,31043.9,2026-07-22,0.0,30402.84
order_9dssrkfi53llp0,10256.83,2026-07-24,0.0,10014.76
order_2tyznm5saxyk2e,37767.02,2026-08-03,0.0,36875.72
order_15kck4zynfgj1y,2487.5,2026-08-02,0.0,2443.47
order_2pitt8bo7jfm03,9362.59,2026-07-09,0.0,9119.53
order_rf4won6fawe3ia,31205.22,2026-08-04,305.58,30163.2
order_kqdvnab87frboo,4327.93,2026-07-17,0.0,4215.58
order_nkys30u7frzud1,19015.24,2026-08-06,0.0,18521.6
order_ymxu16bn45u0f4,33889.13,2026-07-29,0.0,33289.29
order_ebjvnfowapcq7v,36365.45,2026-07-11,0.0,35614.5
order_4kv2ra0t51lc8a,4430.31,2026-07-16,0.0,4315.3
order_eoizu7n9en0ker,6570.83,2026-07-08,0.0,6435.14
order_pnei5zrwuo8nq1,10917.28,2026-08-03,461.26,10230.58
order_9zurutk92j6sb0,333.16,2026-07-13,0.0,327.26
order_obw3j6sog2lbwt,17087.19,2026-07-17,302.63,16340.97
order_uzc2plhs95twbq,27177.83,2026-07-31,267.6,26268.83
order_nzf6yxis81hbud,29316.03,2026-07-16,0.0,28554.99
order_5ofttuk18c7j0z,11057.91,2026-07-14,0.0,10796.94
order_i1wr63juwmw3m4,34446.08,2026-07-31,0.0,33551.86
order_1iv0b1hi8h7pr2,23904.21,2026-08-04,0.0,23283.66
order_mxon2kf9q0qoex,43744.02,2026-07-23,0.0,42969.75
order_piqjpbofo7puk6,5110.9,2026-07-26,0.0,4990.28
order_yzdcqr8zmmxx1c,17128.0,2026-07-28,0.0,16723.78
order_hxtdqy89fiq0fc,11502.76,2026-07-14,0.0,11265.23
order_vppfnniix1sknx,2896.17,2026-07-12,0.0,2827.82
order_qdji6sow4yif5d,25242.6,2026-07-16,451.84,24195.04
order_emrqp94na46n0a,27215.59,2026-07-16,0.0,26573.3
order_zq6rf8lw7y8aub,4660.58,2026-07-15,0.0,4564.34
order_xi5n6dbxf9rexl,35043.93,2026-08-01,0.0,34423.65
order_riqye1sofpvoeo,30646.96,2026-08-02,0.0,30104.51
order_eh9h72iq4lu1by,31570.29,2026-07-18,0.0,30918.36
order_b8innu7pggminu,17249.01,2026-07-21,0.0,16841.93
order_1oubnlma4ac1pu,32385.08,2026-07-11,0.0,31716.33
order_0znmvnswjfii0u,269.42,2026-07-27,0.0,263.06
order_a6540wfj2etpse,9175.47,2026-07-27,0.0,8986.0
order_6sp0y3rora8k2h,20052.76,2026-07-21,0.0,19697.83
order_uyk2vfhd7wg11s,40407.13,2026-07-20,0.0,39358.16
order_ceth28imdgajbq,36647.1,2026-08-03,0.0,35695.74
order_2u8z1xie39zvye,12544.05,2026-07-12,0.0,12322.02
order_1uvjytmp4nvv78,44477.77,2026-07-12,0.0,43690.51
order_wxzb5oeqxadgyu,3535.16,2026-07-24,0.0,3451.73
order_1gglcr5p8aacj7,10747.05,2026-07-18,0.0,10493.42
order_ie5apcbflun3yp,11051.82,2026-07-21,0.0,10856.2
order_lwwiayzd9uxlj1,23318.74,2026-08-01,0.0,22837.21
order_a7idi09kgw8c4a,17128.91,2026-07-24,0.0,16724.67
order_ne4xlwg9ay22d1,25296.6,2026-07-23,0.0,24639.89
order_jqycrho7azp8ox,3882.62,2026-07-15,0.0,3781.82
order_d613ly4qztgbcq,35736.31,2026-07-22,0.0,34808.59
order_5y4lawrtnfgzsk,3506.42,2026-08-02,0.0,3415.39
order_cgfx30ac9pubko,12375.42,2026-07-23,0.0,12083.36
order_q2wipp101yqt06,19737.33,2026-07-16,353.45,18976.31
order_36z6coxkq5p52d,41181.93,2026-07-21,0.0,40112.85
order_bowvhd7b4isyi8,19502.48,2026-07-22,0.0,19042.22
order_g3duvschl80zd8,35985.73,2026-07-21,240.55,34895.92
order_z6ctel745csf0a,547.67,2026-08-04,0.0,537.97
order_rueoc7jnx894i1,4402.08,2026-08-01,0.0,4324.16
order_fh7b0ahi1ywt3h,6611.96,2026-07-23,0.0,6455.92
order_22wahdo61xn8dk,19998.04,2026-07-22,0.0,19585.08
order_km8b543bb9h5c7,24460.6,2026-07-29,0.0,24027.65
order_zffghf3obs0swv,12298.41,2026-08-05,0.0,12008.17
order_3zw0sd7sbz75eu,14037.98,2026-07-31,0.0,13673.55
order_d5so2n333za49x,27977.18,2026-07-11,0.0,27250.89
order_prtyveksvquqs9,24447.56,2026-08-07,0.0,24014.84
order_p3v5vs0jzwlsd4,38046.73,2026-07-31,0.0,37148.83
order_9bn1hcd4gfkbzy,33300.8,2026-07-17,0.0,32613.14
order_zh4yybkhtab92w,39050.5,2026-07-23,0.0,38036.75
order_x4ntqvnmd8iyub,25756.38,2026-07-22,0.0,25148.53
order_ni4gybvjtrregf,25380.09,2026-07-17,0.0,24721.23
order_z5tpwy0tuzg2vg,6973.78,2026-07-30,0.0,6809.19
order_uxv2o2qszo1i73,30312.72,2026-07-15,0.0,29525.8
order_l0os3x23ietyr9,23317.81,2026-08-05,0.0,22712.48
order_xaad0xh2mecyjx,43709.5,2026-07-24,0.0,42574.8
order_1jb0oxdfns88m7,32238.0,2026-07-27,0.0,31572.28
order_p6u5ps4768tqw8,19818.51,2026-07-16,0.0,19467.72
order_lt4u6o3lpo7381,33356.97,2026-07-13,0.0,32668.14
order_nlydjixl7vsky6,10717.09,2026-07-30,0.0,10464.17
order_913sd09oym3mul,2171.56,2026-07-17,0.0,2133.13
order_nd1gafunh7i3wy,33728.32,2026-07-20,0.0,32852.74
order_a64tcwbbkocyw3,2950.47,2026-07-11,0.0,2898.24
order_nx3m4clen7ct4r,19019.22,2026-07-11,0.0,18525.48
order_18l30pyn1qi5j3,17973.77,2026-07-29,0.0,17549.58
order_igkplrggbi28sh,10835.81,2026-07-08,0.0,10644.01
order_gomqxmqo0fvlc2,38584.1,2026-07-24,0.0,37673.52
order_phfaxi1s9npaxu,22692.22,2026-07-09,0.0,22290.57
order_xgl1qgouo8zd0l,20778.62,2026-07-31,0.0,20288.25
order_8f1ih6lb3k5ruw,15936.99,2026-07-28,0.0,15654.91
order_kqyuyqrjzbzmt6,24076.51,2026-07-08,0.0,23508.3
order_jz4jka0j2nbi5e,18585.49,2026-07-16,114.07,18032.8
order_7lofolangxcd28,42242.1,2026-08-01,0.0,41145.49
order_awnwgxv38pfitc,6138.35,2026-07-29,0.0,5979.0
order_djsoocgdrvd511,44735.74,2026-07-22,0.0,43943.91
order_hesh3pfi14kmry,39159.14,2026-07-27,0.0,38350.51
order_lr5t9egvxbcvlm,41981.7,2026-07-26,0.0,41238.62
order_y2twscw63tfms1,16129.78,2026-07-09,35.97,15808.31
order_lj1j2pemklmdh3,8588.41,2026-07-09,0.0,8385.72
order_v8ab40oobagxkk,39767.57,2026-07-15,49.75,38779.31
order_8pcyhc065ju7yo,42197.92,2026-07-29,0.0,41202.05
order_o2de83quv5f3fi,40330.72,2026-07-08,0.0,39497.89
order_o6c6zh6du9zz99,8335.66,2026-07-22,0.0,8138.94
order_5425wj0y17vz2q,17968.78,2026-07-21,0.0,17502.31
order_rbsh103uf8ri3p,1383.13,2026-08-03,0.0,1354.57
order_mz43d3zb28mcli,7735.97,2026-07-20,0.0,7553.4
order_inmm5depnczfu5,29277.59,2026-08-06,178.24,28339.3
order_96nix9twu52iyb,33259.26,2026-07-18,0.0,32395.85
order_slpwlm4fm2oggv,33322.89,2026-07-26,0.0,32634.77
order_wfucweeemmv8b7,42308.54,2026-07-26,0.0,41434.87
order_32vuxly81xgjhk,12610.36,2026-07-21,0.0,12312.75
order_53cd0znuajpbpk,37491.85,2026-08-04,0.0,36607.04
order_357p714tzp0d99,28237.92,2026-07-12,304.34,27200.53
order_tahqbbu55dva51,14157.07,2026-07-20,0.0,13822.96
order_xcjdp9t6m7rjbn,32480.24,2026-07-20,0.0,31637.05
order_3lm75q7gx2slgo,32244.73,2026-07-21,0.0,31578.88
order_8o7ii03od4jhrr,21650.59,2026-07-27,0.0,21203.5
order_59pcyd2kirrnrn,26522.05,2026-07-26,0.0,25833.53
order_il7w6atjlono3y,34205.03,2026-07-31,0.0,33397.79
order_bm96bo6659haoj,41762.35,2026-07-20,0.0,40678.2
order_96em7r3qcqaoox,32672.71,2026-07-29,0.0,31998.02
order_x53lrzmo3dxudx,37512.95,2026-07-29,0.0,36848.98
order_m2c6kh1xllf6em,29341.81,2026-07-17,0.0,28735.9
order_l4kfw21kmn17pl,4707.85,2026-07-13,0.0,4585.64
