value_date,utr,credit_amount,narration
2026-07-25,UTIB240726974995641,7648.49,NEFT CR-RAZORPAY SETTLEMENTS UTIB240726974995641
2026-08-06,AXIS050826375243106,23930.58,NEFT CR-RAZORPAY SETTLEMENTS AXIS050826375243106
2026-07-30,ICIC290726289908811,30206.97,NEFT CR-RAZORPAY SETTLEMENTS ICIC290726289908811
2026-08-09,AXIS080826267736026,797.52,NEFT CR-RAZORPAY SETTLEMENTS AXIS080826267736026
2026-08-10,YESB090826533149135,4436.14,NEFT CR-RAZORPAY SETTLEMENTS YESB090826533149135
2026-07-30,SBIN290726927524372,772.28,NEFT CR-RAZORPAY SETTLEMENTS SBIN290726927524372
2026-07-27,AXIS260726390198179,11665.67,NEFT CR-RAZORPAY SETTLEMENTS AXIS260726390198179
2026-07-13,NEFTUTIB100726FAZZ81SDW,44762.49,NEFT CR-RAZORPAY SETTLEMENTS NEFTUTIB100726FAZZ81SDW
2026-07-18,NEFTPUNB100726VF1T2TALA,70634.37,NEFT CR-RAZORPAY SETTLEMENTS NEFTPUNB100726VF1T2TALA
2026-07-12,NEFTYESB10072653LC58DRC,98876.15,NEFT CR-RAZORPAY SETTLEMENTS NEFTYESB10072653LC58DRC
2026-07-19,NEFTPUNB1007261ERTJ5PHT,79359.77,NEFT CR-RAZORPAY SETTLEMENTS NEFTPUNB1007261ERTJ5PHT
2026-07-23,NEFTAXIS100726ZOYN6QICA,30221.98,NEFT CR-RAZORPAY SETTLEMENTS NEFTAXIS100726ZOYN6QICA
